Chemin,Nom_Class,Taille(#classes),Taille(NLOC),Taille(CLOC),ANA,NOM,NOA,ITC,ETC,CAC,DIT,CLD,NOC,NOD
./src/,GUI,,259,16,1,1,5,0,0,1,0,0,0,0
./src/,Controler,,282,36,0.58,12,7,0,0,4,0,0,0,0
./src/,AggregationD,,95,10,0.2,5,3,0,0,0,0,0,0,0
./src/,GeneralisationD,,62,7,0.2,5,3,0,0,0,0,0,0,0
./src/,RelationD,,86,9,0.17,6,4,0,0,0,0,0,0,0
./src/,Method,,55,0,0.25,4,3,0,0,1,0,0,0,0
./src/,Item,,49,0,0.5,4,3,0,0,0,0,0,0,0
./src/,ClassDec,,357,32,0.22,23,24,0,0,6,0,0,0,0
Totale,,8,1245,110,,,,,,,,,,
,,,,,,,,,,,,,,
Min,,,,,0.17,1,3,0,0,0,0,0,0,0
Max,,,,,1,23,24,0,0,6,0,0,0,0
Tendance centrale,,,,,0.39,7.5,6.5,0,0,1.5,0,0,0,0
Écart type,,,,,0.271431390962799,6.53834841531101,6.74536878161602,0,0,2.12132034355964,0,0,0,0
